/net014 X,/net014 Y,/net015 X,/net015 Y
0,0.8631680947755571,0,-0.04455079994231496
1e-11,0.8631680947752971,1e-11,-0.04455079994193019
1.25e-11,0.8631680947763229,1.25e-11,-0.04455079994102171
1.75e-11,0.8631680947712488,1.75e-11,-0.04455079997940108
2.749999999999999e-11,0.8631680947759485,2.749999999999999e-11,-0.04455079997184138
2.999999999999999e-11,0.8631680947755485,2.999999999999999e-11,-0.04455079999777694
3.5e-11,0.8631680947656006,3.5e-11,-0.044550799909772
3.625e-11,0.863168094771338,3.625e-11,-0.04455079990172178
3.875e-11,0.8631680947840299,3.875e-11,-0.04455079990669798
4.375000000000001e-11,0.8631680947856777,4.375000000000001e-11,-0.04455079998689861
4.527541874111718e-11,0.8631680947775165,4.527541874111718e-11,-0.04455079998318357
4.832625622335153e-11,0.8631680947651811,4.832625622335153e-11,-0.04455079996170916
5.442793118782022e-11,0.8631680947725773,5.442793118782022e-11,-0.04455079992850848
5.595334992893739e-11,0.8631680947779269,5.595334992893739e-11,-0.04455079991995988
5.900418741117173e-11,0.8631680947812352,5.900418741117173e-11,-0.04455079992575722
6.510586237564041e-11,0.8631680947793112,6.510586237564041e-11,-0.04455079996267215
6.667660716468345e-11,0.8631680947779656,6.667660716468345e-11,-0.0445507999716596
6.981809674276953e-11,0.8631680947680987,6.981809674276953e-11,-0.04455079997076142
7.610107589894169e-11,0.8631680947590283,7.610107589894169e-11,-0.04455079992300498
7.803472243405513e-11,0.8631680947658918,7.803472243405513e-11,-0.04455079989463674
8.1902015504282e-11,0.8631680947781565,8.1902015504282e-11,-0.04455079992505191
8.963660164473575e-11,0.8631680947731079,8.963660164473575e-11,-0.04455079998338693
9.155294532908393e-11,0.8631680947679576,9.155294532908393e-11,-0.04455079996895103
9.538563269778028e-11,0.8631680947518274,9.538563269778028e-11,-0.04455079995262314
9.769281634889015e-11,0.863168094750986,9.769281634889015e-11,-0.04455079989834853
9.884640817444507e-11,0.8631680947537889,9.884640817444507e-11,-0.0445507998685724
9.942320408722254e-11,0.8631680947558408,9.942320408722254e-11,-0.04455079985406567
1e-10,0.8631680947578785,1e-10,-0.04455079984927286
1.000010174242895e-10,0.8631680945221565,1.000010174242895e-10,-0.04455079956212495
