/net07 X,/net07 Y,/net7 X,/net7 Y,/net5 X,/net5 Y,/net4 X,/net4 Y
0,0.01178254691635253,0,0.9116558303717017,0,-0.02947576847165105,0,0.8699410354628823
5e-12,0.01178254691635252,5e-12,0.9116558303717016,5e-12,-0.02947576847165105,5e-12,0.8699410354628823
9.999999999999999e-12,0.01178254691635254,9.999999999999999e-12,0.9116558303717016,9.999999999999999e-12,-0.02947576847165105,9.999999999999999e-12,0.8699410354628823
1.5e-11,0.01178254691635252,1.5e-11,0.9116558303717016,1.5e-11,-0.02947576847165105,1.5e-11,0.8699410354628823
2e-11,0.01178254691635251,2e-11,0.9116558303717016,2e-11,-0.02947576847165105,2e-11,0.8699410354628823
2.49999999e-11,0.01178254691635253,2.49999999e-11,0.9116558303717017,2.49999999e-11,-0.02947576847165105,2.49999999e-11,0.8699410354628822
3e-11,0.01178254691635252,3e-11,0.9116558303717016,3e-11,-0.02947576847165105,3e-11,0.8699410354628823
3.5e-11,0.01178254691635252,3.5e-11,0.9116558303717016,3.5e-11,-0.02947576847165105,3.5e-11,0.8699410354628823
4e-11,0.01178254691635252,4e-11,0.9116558303717016,4e-11,-0.02947576847165105,4e-11,0.8699410354628823
4.5e-11,0.01178254691635251,4.5e-11,0.9116558303717016,4.5e-11,-0.02947576847165105,4.5e-11,0.8699410354628823
5e-11,0.01178254691635252,5e-11,0.9116558303717017,5e-11,-0.02947576847165105,5e-11,0.8699410354628823
5.5e-11,0.01178254691635252,5.5e-11,0.9116558303717016,5.5e-11,-0.02947576847165105,5.5e-11,0.8699410354628823
6e-11,0.01178254691635253,6e-11,0.9116558303717016,6e-11,-0.02947576847165105,6e-11,0.8699410354628823
6.5e-11,0.01178254691635252,6.5e-11,0.9116558303717016,6.5e-11,-0.02947576847165105,6.5e-11,0.8699410354628823
7e-11,0.01178254691635252,7e-11,0.9116558303717016,7e-11,-0.02947576847165105,7e-11,0.8699410354628823
7.5e-11,0.01178254691635252,7.5e-11,0.9116558303717017,7.5e-11,-0.02947576847165105,7.5e-11,0.8699410354628823
8e-11,0.01178254691635252,8e-11,0.9116558303717016,8e-11,-0.02947576847165105,8e-11,0.8699410354628823
8.499999989999999e-11,0.01178254691635253,8.499999989999999e-11,0.9116558303717016,8.499999989999999e-11,-0.02947576847165105,8.499999989999999e-11,0.8699410354628823
8.99999999e-11,0.01178254691635251,8.99999999e-11,0.9116558303717016,8.99999999e-11,-0.02947576847165105,8.99999999e-11,0.8699410354628823
9.49999999e-11,0.0117825469163525,9.49999999e-11,0.9116558303717017,9.49999999e-11,-0.02947576847165105,9.49999999e-11,0.8699410354628823
9.999999989999999e-11,0.01178254691635253,9.999999989999999e-11,0.9116558303717017,9.999999989999999e-11,-0.02947576847165105,9.999999989999999e-11,0.8699410354628823
1.049999999e-10,0.01178254691635254,1.049999999e-10,0.9116558303717017,1.049999999e-10,-0.02947576847165105,1.049999999e-10,0.8699410354628823
1.099999999e-10,0.01178254691635252,1.099999999e-10,0.9116558303717016,1.099999999e-10,-0.02947576847165105,1.099999999e-10,0.8699410354628823
1.149999999e-10,0.01178254691635252,1.149999999e-10,0.9116558303717016,1.149999999e-10,-0.02947576847165105,1.149999999e-10,0.8699410354628823
1.199999999e-10,0.01178254691635252,1.199999999e-10,0.9116558303717016,1.199999999e-10,-0.02947576847165105,1.199999999e-10,0.8699410354628823
1.249999999e-10,0.01178254691635252,1.249999999e-10,0.9116558303717016,1.249999999e-10,-0.02947576847165105,1.249999999e-10,0.8699410354628823
1.3e-10,0.01178254691635252,1.3e-10,0.9116558303717016,1.3e-10,-0.02947576847165105,1.3e-10,0.8699410354628823
1.35e-10,0.01178254691635251,1.35e-10,0.9116558303717016,1.35e-10,-0.02947576847165105,1.35e-10,0.8699410354628823
1.4e-10,0.01178254691635251,1.4e-10,0.9116558303717017,1.4e-10,-0.02947576847165105,1.4e-10,0.8699410354628823
1.45e-10,0.01178254691635249,1.45e-10,0.9116558303717016,1.45e-10,-0.02947576847165105,1.45e-10,0.8699410354628823
1.5e-10,0.01178254691635252,1.5e-10,0.9116558303717017,1.5e-10,-0.02947576847165105,1.5e-10,0.8699410354628823
1.55e-10,0.01178254691635251,1.55e-10,0.9116558303717017,1.55e-10,-0.02947576847165105,1.55e-10,0.8699410354628823
1.6e-10,0.01178254691635252,1.6e-10,0.9116558303717017,1.6e-10,-0.02947576847165105,1.6e-10,0.8699410354628823
1.65e-10,0.01178254691635252,1.65e-10,0.9116558303717016,1.65e-10,-0.02947576847165105,1.65e-10,0.8699410354628823
1.7e-10,0.01178254691635251,1.7e-10,0.9116558303717016,1.7e-10,-0.02947576847165105,1.7e-10,0.8699410354628823
1.75e-10,0.01178254691635252,1.75e-10,0.9116558303717016,1.75e-10,-0.02947576847165105,1.75e-10,0.8699410354628823
1.8e-10,0.01178254691635251,1.8e-10,0.9116558303717017,1.8e-10,-0.02947576847165105,1.8e-10,0.8699410354628823
1.85e-10,0.01178254691635252,1.85e-10,0.9116558303717016,1.85e-10,-0.02947576847165105,1.85e-10,0.8699410354628823
1.9e-10,0.01178254691635254,1.9e-10,0.9116558303717016,1.9e-10,-0.02947576847165105,1.9e-10,0.8699410354628823
1.95e-10,0.01178254691635253,1.95e-10,0.9116558303717016,1.95e-10,-0.02947576847165105,1.95e-10,0.8699410354628823
2e-10,0.01178254691635251,2e-10,0.9116558303717016,2e-10,-0.02947576847165105,2e-10,0.8699410354628823
2.05e-10,0.01178254691635252,2.05e-10,0.9116558303717017,2.05e-10,-0.02947576847165105,2.05e-10,0.8699410354628823
